CL_ID,SRC_STM_ID,CL_SCM_ID,EFF_DT,END_DT,CL_CODE,CL_NM,CL_SCM_CODE
A60C5D64EECC3FA524F7F302D5A33017,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,2287,UY BAN NHAN DAN QUAN TAN PHU,CGY
887441A58483BBE545FB75DF6D55C4DD,6880ECCF9247CA4C612FB1BBF19118CA,AD31D1356540F184DF6FBF531F7C2B7F,00:00.0,00:00.0,11,Người được ủy quyền chủ tài khoản thứ 9,RELATION_TP
3406C700912B88810F584E1D15D9D7A4,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,1140,Ban Quan Ly Cac KCX va CN TP.HCM,CGY
E792D12BC10433CAA13E338EAC47BD59,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,1605,"Bo Van hoa, The thao & Du lich",CGY
46F351ABB53C5F871844E04A732E8315,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,2294,UY BAN NHAN DAN HUYEN CAN GIO,CGY
E06E7F677C8DD5FB28E35F31DE4F5C2F,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,1870,Uy Ban Nhan Dan Tinh Kien Giang,CGY
A3A42F1E6CC0C8DAA8F145DAED6B708B,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,2085,Hang Hang Khong Viet Nam,CGY
B8730B04F553C9692C3FDD8C0C0E4839,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,690,Dai su quan Viet Nam tai ISRAEL,CGY
C34BE6ACFE7E221F9A8F5FAF9DAA8F40,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,830,Dai su quan Viet Nam tai NORTH KOREA,CGY
E4DDB7D64E063B46F97C812B32FA94E9,6880ECCF9247CA4C612FB1BBF19118CA,AD31D1356540F184DF6FBF531F7C2B7F,00:00.0,00:00.0,7,Người được ủy quyền chủ tài khoản thứ 5,RELATION_TP
DDBB86EE3AD96F5B0A0BC90557945A00,6880ECCF9247CA4C612FB1BBF19118CA,AD31D1356540F184DF6FBF531F7C2B7F,00:00.0,00:00.0,30,Người ĐDHP-đại diện theo pháp luật-1,RELATION_TP
C93E8CD086C0BE6ABF1F4FD388BB076C,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,1125,Tong Cong Ty Dau Khi,CGY
76D84F936CFEA042C50E6ED7E9DB2752,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,2280,UY BAN NHAN DAN QUAN 7,CGY
583E0EDEA656E39AEF503B823FD07FB7,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,1660,Uy Ban Nhan Dan huyen Long Dien,CGY
2B911673D8EAD2D2185F72EEB4DA4B40,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,1915,Uy Ban Nhan Dan Tinh Ninh Binh,CGY
96B182C9288A69635CDC574EFBF09E8F,0A89EF188E77C639020C9C89706F5349,8C803958C68E2B13D325F4CB84EFEE86,00:00.0,00:00.0,2210,Germany,CGY
6498B5933E27D37C593DADEBB0CBD283,8EEDAFE4CBBC29D48A985585370741A4,22805FA6B0EA40776E8434E5D3276CF8,00:00.0,00:00.0,BAN NTE CK - DU HOC,BAN NTE CK - DU HOC,FWC_TXN_PPS
730A631421D39C9C96A65251A69B2CB3,8EEDAFE4CBBC29D48A985585370741A4,22805FA6B0EA40776E8434E5D3276CF8,00:00.0,00:00.0,BAN NTE CK - TRA NO VAY,BAN NTE CK - TRA NO VAY,FWC_TXN_PPS
3C5E3CA60E6752CC8F2DFE4C69B390FF,8EEDAFE4CBBC29D48A985585370741A4,22805FA6B0EA40776E8434E5D3276CF8,00:00.0,00:00.0,KH,KH,FWC_TXN_PPS
